location,name,score
"Madison, WI, United States",Westy92,"1,800"
,Potatoswatter,"1,799"
"Brisbane, Australia",Smashery,"1,798"
"St. Gallen, Switzerland",vadian,"1,797"
"Falkenberg, Sweden",David Hedlund,"1,796"
"Hanover, NH, USA",Stephen Canon,"1,796"
"Moscow, Russia",Pavel Anossov,"1,796"
"Antwerpen, België",lvthillo,"1,796"
"Minsk, Belarus",madhead,"1,794"
,Shyju,"1,792"
North Carolina,Chris Lutz,"1,792"
"New York, NY, United States",Harry,"1,791"
United Kingdom,Rob,"1,790"
"Esfahan, Iran",sinoohe,"1,790"
,ikegami,"1,789"
"Munich, Bavaria Germany",Mario F,"1,789"
"Santa Clara, CA, USA",jieong,"1,788"
,Faywang - MSFT,"1,788"
United States,vitaut,"1,787"
"Hadj Mechri, Algeria",Boussadjra Brahim,"1,785"
"England, United Kingdom",Olical,"1,780"
"Athens, Greece",tgogos,"1,779"
"Islamabad, Pakistan",WasiF,"1,778"
"Cape Town, South Africa",Jannie Theunissen,"1,777"
,user,"1,777"
"Saint-Etienne, France",JB Nizet,"1,776"
India,Ritwick Dey,"1,776"
,TheFlash,"1,774"
Argentina,Gabriel,"1,774"
"Cambridge, United Kingdom",Konrad Rudolph,"1,771"
"Nimes, France",Jérôme Verstrynge,"1,770"
,ajeet kanojia,"1,770"
"San Francisco, CA, USA",Alister,"1,770"
,Andy Shinn,"1,769"
"Boston, MA",J. Abrahamson,"1,768"
Los Angeles,McGarnagle,"1,766"
,chunhunghan,"1,763"
,Estus Flask,"1,761"
,coredump,"1,759"
United States,Eli Courtwright,"1,758"
,SW4,"1,758"
,yoAlex5,"1,758"
"Rahden, Germany",helmbert,"1,757"
"Vienna, Austria",Martin Ullrich,"1,755"
"Beirut, Lebanon",Majed Badawi,"1,753"
"Amsterdam, Netherlands",cantdutchthis,"1,752"
"Seattle, WA",Michael Burr,"1,751"
"Mount Maunganui, Tauranga, New Zealand",Matt Frear,"1,750"
"New York, NY",MonkeyBonkey,"1,750"
,James Mead,"1,750"
Warsaw,Marcin Możejko,"1,749"
"Seattle, WA",kindall,"1,748"
"Ahmedabad, Gujarat, India",Nilesh Rathod,"1,748"
"Shenzhen, Guangdong, China",Paul Verest,"1,748"
Germany,Valentin Despa,"1,748"
United States,uKolka,"1,748"
"Western Australia, Australia",Craig Ringer,"1,746"
"Jena, Germany",Sirko,"1,745"
United States,adam0101,"1,745"
"Vancouver, BC, Canada",Cezar,"1,743"
,Edward,"1,742"
"Saskatoon, Canada",Jesse Webb,"1,741"
Germany,Tobias,"1,738"
"Dublin, Ireland",Sergey Berezovskiy,"1,736"
,mjolinor,"1,736"
"Cambridge, Massachusetts",jcalz,"1,735"
U.S. East Coast,dbenham,"1,733"
,MikeCAT,"1,733"
,l3x,"1,733"
,SuperNova,"1,732"
"Texas, USA",Grant Miller,"1,730"
"Seattle, WA, USA",Nachiketha,"1,730"
"Tokyo, Japan",CAFxX,"1,729"
"Red Hook, New York, United States",Matt Williamson,"1,728"
"San Francisco, CA",icecrime,"1,726"
Portugal,João Angelo,"1,726"
"Stockholm, Sweden",Daniel Stenberg,"1,726"
"Atlanta, GA",lfender6445,"1,726"
"Odessa, Ukraine",Cepr0,"1,726"
"Budapest, Hungary",zsmb13,"1,723"
,Benjamin Lindley,"1,722"
"Auckland, New Zealand",Marko,"1,722"
"Minsk, Belarus",Elvin Mammadov,"1,722"
"Germany, Tübingen",Michael Hoeller,"1,720"
"Ernakulam, Kerala, India",Arakkal Abu,"1,719"
"Moscow, Russia",grigoryvp,"1,718"
"Sondrio, Italy",systempuntoout,"1,716"
"Melbourne, Victoria, Australia",Simon Whitehead,"1,713"
,hackape,"1,712"
,astrofrog,"1,710"
,yemu,"1,710"
,bier hier,"1,710"
"Asuncion, Paraguay",Pablo Santa Cruz,"1,708"
Germany,Koraktor,"1,708"
"Gdańsk, Poland",Radek 'Goblin' Pieczonka,"1,707"
"Reading, United Kingdom",Michael Kay,"1,706"
New Jersey,Sam Stern,"1,706"
London,Jamie Hill,"1,706"
"London, United Kingdom",Dennis,"1,705"
"Boston, MA",MadScientist,"1,703"
Russia,RiaD,"1,702"
Netherlands,Mathias R. Jessen,"1,700"
"Strongsville, OH",John Rasch,"1,700"
,Paul0515,"1,700"
,zach,"1,698"
"Tokyo, Japan",ittus,"1,698"
"Bucharest, Romania",FaneDuru,"1,697"
Australia,Will Robertson,"1,696"
"Denver, CO",hughdbrown,"1,696"
,Mogsdad,"1,695"
"Royal Tunbridge Wells, Tunbridge Wells, UK",Matteo Pacini,"1,695"
"Paris, France",Thomas Levesque,"1,694"
,Walter,"1,694"
"Minneapolis, MN",Michael Berkowski,"1,690"
"Firenze ( Florence ), Italy",Daniele Ricci,"1,689"
"Dallas, TX",Dylan Markow,"1,688"
"Wellington, New Zealand",Mike T,"1,688"
,mxdbld,"1,687"
"Aachen, Deutschland",nbk,"1,686"
"London, United Kingdom",alex,"1,683"
"Bangalore, Karnataka, India",Venkataramana Madugula,"1,683"
Bulgaria,Ivan Stoev,"1,682"
"Fort Myers, FL, United States",Mick MacCallum,"1,682"
"Brno, Czech Republic",Petr Viktorin,"1,680"
"Malmö, Sweden",Johan,"1,680"
South Korea,Chris,"1,680"
"San Francisco, CA, United States",zetacu,"1,680"
"Delft, Netherlands",Saullo G. P. Castro,"1,679"
"Irvine, CA, United States",piRSquared,"1,675"
,Jmb,"1,674"
"Hanoi, Vietnam",hgb123,"1,674"
Netherlands,Wrikken,"1,673"
"Leiculeşti, Romania",Layke,"1,673"
,G M,"1,672"
India,Nirav D,"1,670"
"Montreal, Canada",Mo.,"1,670"
"Perth, Australia",Doug,"1,670"
"Paris, France",Imanou Petit,"1,668"
"United States, East Coast",Mike Organek,"1,668"
"Bellevue, WA, United States",MarcinJuraszek,"1,666"
Warsaw/Poland,Opal,"1,666"
"Médéa, Algeria",Raouf Rahiche,"1,666"
Bangalore,Gibbs,"1,666"
Germany,Martin R,"1,665"
,Chronial,"1,664"
"Cheltenham, UK",Mark Setchell,"1,660"
"Aachen, Germany",Ber,"1,660"
"Zürich, Switzerland",George Hawkins,"1,660"
"Provo, UT, USA",Andrew,"1,660"
"Osnabrück, Germany",Lukas Kalbertodt,"1,659"
Taiwan,kev,"1,658"
,tripleee,"1,656"
"Berlin, Germany",KingCrunch,"1,656"
"Dublin, Ireland",Janos Lenart,"1,656"
"Los Angeles, CA, United States",mechanical_meat,"1,655"
,David Maze,"1,654"
"Berlin, Germany",hoefling,"1,654"
"Chicago, IL",Eric Truett,"1,653"
"Lynnwood, WA, USA",Jay McDoniel,"1,652"
"Ahmedabad, Gujarat, India",Patel Pinkal,"1,652"
China,Searene,"1,651"
Hong Kong,kennytm,"1,650"
Trinidad and Tobago,Nkosi,"1,650"
planet Earth,Anomie,"1,650"
,EMP,"1,650"
,duplode,"1,650"
,Nat Kuhn,"1,650"
Netherlands,Perry,"1,649"
,Eric Anderson,"1,647"
Austria,Rabbid76,"1,645"
,Codo,"1,645"
,Max Koretskyi,"1,644"
"Seattle, WA, USA",Drew Reese,"1,644"
México,Ricky,"1,643"
,pawello2222,"1,643"
"Coimbatore, Tamil Nadu, India",RameshVel,"1,640"
,root,"1,640"
"Madurai, Tamil Nadu, India",Anbu.Karthik,"1,638"
"New York, NY",cletus,"1,636"
"Midlands, United Kingdom",Gazler,"1,636"
"New York, NY",Steve B.,"1,636"
"Redmond, WA, United States",Aerin,"1,636"
"Brussels, Belgium",Renaud Tarnec,"1,635"
Germany,dtb,"1,634"
"Austin, TX",Brian Burns,"1,634"
South Africa,leppie,"1,633"
"Turku, Finland",Péter Török,"1,632"
,jamylak,"1,632"
"Geneva, Switzerland",João Silva,"1,631"
"St Louis, MO",bdukes,"1,630"
,Skizit,"1,630"
"Brooklyn, NY",Yishai,"1,628"
United Kingdom,Chris,"1,628"
"London, United Kingdom",Boris,"1,628"
"Innsbruck, Austria",Achim Zeileis,"1,628"
"Rio de Janeiro, RJ, Brasil",Daniel Möller,"1,627"
"Amsterdam, Netherlands",Mahmoud Zalt,"1,626"
"Kelowna, BC, Canada",Warren  P,"1,623"
"Seattle, WA, United States",timdev,"1,623"
UK,Pebbl,"1,623"
"Maui, HI",aaronasterling,"1,620"
Hong Kong,acw1668,"1,620"
Japan,arcseldon,"1,619"
"Sofia, Bulgaria",Bud Damyanov,"1,619"
"Bangalore, India",Rohit Jain,"1,618"
,moonvader,"1,618"
,david.s,"1,618"
"Menlo Park, CA",scanny,"1,617"
"Barnaul, Russia",Igor Kharakhordin,"1,617"
"Brisbane QLD, Australia",Michael Randall,"1,616"
France,CharlesB,"1,614"
"Helsinki, Finland",Sasxa,"1,613"
,szli,"1,612"
,zdenek,"1,610"
"Lucca, Italy",superpuccio,"1,610"
,Jannes Carpentier,"1,610"
Germany,nemo,"1,608"
"Murrieta, CA, United States",CEich,"1,608"
,larsks,"1,607"
Italy,Ken,"1,606"
Brazil,Leo Dabus,"1,605"
Romania,Ionică Bizău,"1,604"
Australia,David Tang,"1,604"
,wisbucky,"1,604"
"Suzhou, China",xdazz,"1,600"
"San Francisco Bay Area, CA, United States",cmcginty,"1,600"
"New York, United States",behzad.nouri,"1,600"
"Bangkok, Bangkok, Thailand",chakrit,"1,600"
"Flagstaff, AZ",Jack M.,"1,598"
"Dayton, OH",markerikson,"1,597"
"Well, if there's a bright center to the universe, [I'm] on the planet that it's farthest from.",nnnnnn,"1,596"
"Phoenix, AZ",Quintin Robinson,"1,596"
Sweden,Henrik Gustafsson,"1,596"
NYC,harrrrrrry,"1,595"
Earth,Slava Fomin II,"1,593"
,alaniwi,"1,592"
India,jaspreet chahal,"1,591"
"Pittsburgh, PA, United States",aschepler,"1,590"
"Montreal, Canada",webmat,"1,590"
"London, UK",Kavithakaran Kanapathippillai,"1,590"
"London, United Kingdom",Dávid Pásztor,"1,589"
"Chicago, IL",monsur,"1,588"
,jmar777,"1,588"
,Hossein,"1,588"
"Orion Arm, Milky Way",Ali Dehghani,"1,587"
,Thomas Wouters,"1,586"
,user2357112 supports Monica,"1,585"
"Wroclaw, Poland",pawel,"1,585"
,Zachary Newman,"1,585"
Toulouse,Romain,"1,585"
"Rome, Italy",Luca Angeletti,"1,584"
"Belfast, UK (at the moment)",JenB,"1,584"
"Bucharest, Romania",Neo Anderson,"1,583"
"Berlin, Germany",firelynx,"1,582"
"Tana, Madagascar",Andy Fedoroff,"1,582"
,AP257,"1,580"
Utah,Alex,"1,580"
Poland,klin,"1,578"
"Perth, Australia",James Henstridge,"1,578"
"Denver, CO, United States",ATOzTOA,"1,578"
Ukraine,Filip Spiridonov,"1,578"
Sri Lanka,Nilani Algiriyage,"1,577"
"Houston, TX",Evan Carroll,"1,575"
"Kyiv city, Ukraine",Andersson,"1,575"
Sri Lanka,Lahiru Chandima,"1,573"
"Pennsylvania, USA",goodguys_activate,"1,572"
"Kirkland, WA",GManNickG,"1,571"
Gibraltar,Mikko Ohtamaa,"1,571"
,Lazer,"1,570"
North Carolina,kahowell,"1,570"
,RustyShackleford,"1,570"
,Tim,"1,569"
"Seoul, 대한민국",Lamanus,"1,567"
United States,dasblinkenlight,"1,566"
"Zürich, Switzerland",nickf,"1,566"
"Paris, France",Brice,"1,566"
"Vienna, Austria",Laurenz Albe,"1,565"
United Kingdom,atreeon,"1,565"
,Ansgar Wiechers,"1,563"
China,Kevin Lu-MSFT,"1,563"
"Queretaro, Mexico",Ivan,"1,562"
"London, United Kingdom",harryg,"1,562"
"Toronto, Canada",Vitalii Fedorenko,"1,560"
"Yukon Territory, Canada",Andrew Reid,"1,560"
"Boulder, CO",Rex Logan,"1,560"
"Chennai, Tamil Nadu, India",Hemanth Raj,"1,560"
,Jus10,"1,560"
Poolside,mikemaccana,"1,558"
"Diss, United Kingdom",stevehipwell,"1,558"
"Moscow, Russia",Andrey,"1,558"
"Lausanne, Switzerland",Yann39,"1,558"
Germany,Dunes,"1,557"
"Essen, Germany",Gordon,"1,556"
"Cambridge, MA",Quartermeister,"1,556"
,Levi Lu-MSFT,"1,556"
"Hamburg, Germany",Benjamin Bannier,"1,555"
"London, United Kingdom",jameshfisher,"1,555"
Taiwan,Val,"1,554"
"Bristol, United Kingdom",Ben Clayton,"1,553"
"London, United Kingdom",Andy Turner,"1,550"
"Buffalo Grove, IL",Yuriy Faktorovich,"1,550"
,jclancy,"1,550"
,treecoder,"1,550"
United Kingdom,goofballLogic,"1,550"
Belgium,Eric Darchis,"1,550"
,Md. Abu Taher,"1,550"
,Xtreme Biker,"1,549"
,rzwitserloot,"1,548"
Cardiff,atomh33ls,"1,545"
,Jeet,"1,544"
"Paris, France",ddaa,"1,543"
Arlington VA,JohnE,"1,543"
"Munich, Germany",pvpkiran,"1,542"
"Melbourne VIC, Australia",Drew Noakes,"1,540"
"Bangalore, India",Nickil Maveli,"1,540"
Malta,OwChallie,"1,540"
Sweden,Erik Dahlström,"1,539"
"Trondheim, Norway",hammar,"1,538"
,sidyll,"1,538"
,frmdstryr,"1,538"
"Brooklyn, NY",Jeff Posnick,"1,533"
San Francisco,KL-7,"1,530"
China,Jichao,"1,530"
"Budva, Budva Municipality, Montenegro",Eugene Brusov,"1,530"
"Arnhem, Netherlands",RemcoGerlich,"1,529"
"Chicago, IL",Charles Duffy,"1,528"
Seattle,bdonlan,"1,528"
"Cluj-Napoca, Romania",Mihai Limbășan,"1,528"
"Brighton, United Kingdom",superluminary,"1,528"
Pretoria / Samrand,Obakeng Molebatsi,"1,528"
"Bangalore, Karnataka, India",Manish,"1,528"
United Kingdom,Adrian Mouat,"1,526"
"Timișoara, Romania",toskv,"1,525"
,Acorn,"1,525"
"New Hampshire, United States",Brad Christie,"1,524"
"Pottstown, PA, United States",ChaosPandion,"1,524"
Southern California,Mark Adler,"1,524"
"Redmond, WA, United States",Brad Wilson,"1,524"
,Crazy Lazy Cat,"1,523"
,Ray Li,"1,522"
"Los Angeles, CA",Joan Venge,"1,521"
,Stéphane Laurent,"1,521"
"Arlington, VA",Nick Heiner,"1,520"
Ireland,Lehane,"1,520"
"Bangalore, India",Karthik Bose,"1,520"
"Kota Damansara, Petaling Jaya, Selangor, Malaysia",Jacob Goh,"1,520"
,igrinis,"1,520"
"Winston-Salem, NC",Nick Craver,"1,516"
,SilentGhost,"1,516"
"Seattle, WA",Ryan Cavanaugh,"1,516"
"Calgary, Canada",Darryl Hein,"1,516"
,smeeb,"1,516"
Iraq,AbdulMomen عبدالمؤمن,"1,516"
France,Mat,"1,515"
,thatguy,"1,515"
"Frankfurt, Germany",CodesInChaos,"1,514"
"London, United Kingdom",araqnid,"1,510"
,user225312,"1,510"
"Tampa, FL",Chad Miller,"1,510"
"Denver, CO",Prestaul,"1,509"
Sweden,Johan,"1,509"
,Roman  Elizarov,"1,509"
Japan,sawa,"1,508"
,Gabe,"1,508"
Netherlands,ahmednabil88,"1,508"
"Orem, UT",rogerdpack,"1,507"
"Sydney, Australia",Igor Zevaka,"1,506"
"Chisinau, Moldova",Omu,"1,505"
India,Shubham Sharma,"1,505"
"Bengaluru, Karnataka, India",Jagrati,"1,505"
"Kyiv, Ukraine",vsemozhebuty,"1,505"
"Amsterdam, Netherlands",Ivan Stanislavciuc,"1,503"
"Dresden, Germany",J. Schultke,"1,503"
"Stroudsburg, PA, United States",Micah,"1,500"
"Brisbane QLD, Australia",brasskazoo,"1,500"
Bangkok Thailand,swatchai,"1,500"
,Stopped Contributing,"1,499"
,preetam singh,"1,499"
,Lionel,"1,498"
,Pawel,"1,498"
"Tenerife, Spain",xomena,"1,497"
"Chennai, India",Praveen,"1,496"
United States,bluecollarcoder,"1,495"
"Mayfair, London",Bathsheba,"1,494"
"Los Angeles, CA",Eli,"1,494"
"Bengaluru, Karnataka, India",Bhaskar Gyan Vardhan,"1,494"
"San Francisco, CA",abarnert,"1,492"
,Matt Houser,"1,492"
"Heidelberg, Germany",Michael_Scharf,"1,491"
,daniel.lozynski,"1,490"
"Chennai, Tamil Nadu, India",Riya Kapuria,"1,490"
United States,Senseful,"1,488"
Belgium,Wouter Overmeire,"1,488"
,foreyez,"1,488"
"Brno, Czech Republic",xsveda,"1,488"
"Gothenburg, Sweden",David Hellsing,"1,486"
Norway,Frode F.,"1,486"
India,Ashh,"1,486"
"Tehran Province, Iran",Bashirpour,"1,486"
"Munich, Germany",Mathias Bynens,"1,485"
California,Stuart Marks,"1,485"
"Novosibirsk, Russia",Tagir Valeev,"1,485"
Malta,Andreas Grech,"1,484"
Sweden,Theo,"1,483"
"Pune, Maharashtra, India",Shashank Agrawal,"1,483"
Russia,osgx,"1,480"
"Vancouver, Canada",murvinlai,"1,480"
"Prague, Czechia",Jonathan Worthington,"1,480"
,Waldi,"1,480"
"Colombo, Sri Lanka",Sajeetharan,"1,478"
,fearofawhackplanet,"1,478"
"Zurich, Switzerland",Seldaek,"1,478"
"Bangalore, Karnataka, India",sushanth,"1,478"
"Novosibirsk, Russia",culebrón,"1,477"
"Boston, MA, United States",Artem Sokolov,"1,477"
"Montreal, QC, Canada",Tuan Tran,"1,477"
"Orlando, FL",Hexagon Theory,"1,476"
,pdeva,"1,476"
"Oslo, Norway",Håken Lid,"1,476"
"Vienna, Austria",Xaver Kapeller,"1,470"
"Milwaukee, WI",Jason Harwig,"1,470"
"Rio de Janeiro - State of Rio de Janeiro, Brazil",MarcG,"1,470"
,user1530318,"1,470"
"Baltimore, MD",Justin Ethier,"1,468"
"British Columbia, Canada",Brian Carper,"1,468"
"New York, United States",Lior Elrom,"1,468"
"Peachtree City, GA, United States",David Basarab,"1,466"
"Ottawa, Canada",Ismail Badawi,"1,465"
"Los Angeles, CA, USA",Rob,"1,464"
"Bucharest, Romania",Luchian Grigore,"1,464"
"Montreal, Canada",Darrel Miller,"1,464"
"Phoenix, AZ, United States",Wayne Conrad,"1,464"
MX,RichieV,"1,464"
"San Mateo, CA",Rico,"1,463"
Earth,Inbar Rose,"1,462"
,mrblah,"1,460"
"Brest, France",web-tiki,"1,460"
"Pune, India",Pankaj Kumar,"1,460"
,creativecreatorormaybenot,"1,460"
,nikjohn,"1,460"
"London, UK",André Pena,"1,459"
,mhawke,"1,458"
"Montevideo, Uruguay",Jayson Minard,"1,458"
London,Johannes Weiss,"1,458"
,fantabolous,"1,458"
"Lagos, Nigeria",Promise Preston,"1,458"
"Haifa, Israel",einpoklum,"1,457"
"Riga, Latvia",FrancescoMussi,"1,457"
"Atlanta, GA, USA",bkucera,"1,457"
Netherlands,Stephan202,"1,456"
,Sraw,"1,455"
Berlin,hek2mgl,"1,454"
"Erfurt, Germany",TLindig,"1,454"
,Amadan,"1,453"
Israel,Nitzan Tomer,"1,452"
"San Diego, CA",Jonathan Allen,"1,452"
Netherlands,Jeroen,"1,452"
Israel,Jossef Harush,"1,452"
"Columbus, OH",gregh,"1,450"
,Ramesh,"1,450"
"Erie, CO",Praetorian,"1,449"
"Sykesville, MD, United States",dm03514,"1,449"
"London, United Kingdom",Simeon Visser,"1,448"
Switzerland,Wernight,"1,448"
"Rio de Janeiro, Brazil",Zanon,"1,448"
,Andy L.,"1,448"
,Tuomas Toivonen,"1,448"
India,hjpotter92,"1,445"
,NullVoxPopuli,"1,445"
,Peter Rincker,"1,445"
,Yogesh Umesh Vaity,"1,445"
"San Francisco, CA, United States",Felipe Hoffa,"1,444"
"Berlin, Germany",Björn Pollex,"1,443"
"Moscow, Russia",Alexander Gladysh,"1,443"
,Karnivaurus,"1,442"
,vishes_shell,"1,441"
"Raleigh, NC",Rob Napier,"1,440"
,BMW,"1,440"
,Jeff Widman,"1,440"
"Karlsruhe, Germany",raphinesse,"1,440"
,Paul Panzer,"1,438"
"Seattle, WA",Shital Shah,"1,438"
,pozs,"1,438"
France,bruno,"1,437"
Israel,abyx,"1,436"
"London, United Kingdom",Jan Hančič,"1,436"
,John Bollinger,"1,434"
Berlin,Eugene,"1,434"
"Sao Paulo, Brazil",Juliano,"1,434"
,marapet,"1,433"
Los Angeles,isapir,"1,433"
"Huntsville, AL, United States",Kevin Coppock,"1,432"
Norway,Kyle,"1,432"
Oregon,helion3,"1,432"
"Warsaw, Poland",KamilCuk,"1,431"
"San Francisco, CA, USA",maxymoo,"1,431"
United States,Legend,"1,430"
USA,Jonathan,"1,430"
"Paris, France",philippe_b,"1,430"
,silvado,"1,430"
"Lahore, Punjab, Pakistan",Imran Javed,"1,430"
"Melbourne, Australia",Phil,"1,429"
"Iowa City, IA",tvanfosson,"1,428"
"Scotland, United Kingdom",izb,"1,428"
"Linköping, Sweden",Joakim Elofsson,"1,428"
"Nairobi, Kenya",Felix Too,"1,428"
Arizona,aubreypwd,"1,427"
,kamaci,"1,423"
"Leuven, Belgium",John Slegers,"1,421"
"Surat, India",Mr.Javed Multani,"1,420"
"Ernakulam, Kerala, India",Rissmon Suresh,"1,420"
"Chemnitz, Deutschland",Mike Lischke,"1,419"
"Dublin, Ireland",Petesh,"1,418"
"Stockholm, Sweden",Filip Roséen - refp,"1,418"
"Treves, Rhineland-Palatinate, Germany",Andreas Dolk,"1,417"
,pilcrow,"1,416"
"Cincinnati, OH, United States",Joey Adams,"1,416"
"England, United Kingdom",Danny Tuppeny,"1,416"
Russia,Mikhail Kholodkov,"1,416"
Kraków,Tomasz Kula,"1,416"
"Toronto, ON, Canada",Quang Hoang,"1,415"
,micha,"1,415"
"San Antonio, TX",Ryan Stewart,"1,414"
"Mountain View, CA",Seth Ladd,"1,414"
"Kiel, Germany",yckart,"1,414"
Dublin,Remo H. Jansen,"1,414"
,Merlin,"1,413"
"Berlin, Germany",tarleb,"1,412"
"Cambridge, United Kingdom",Gareth Latty,"1,411"
"Pasadena, CA",Mike McKerns,"1,411"
India,Vamsi Krishna,"1,411"
"San Francisco, CA",Martin Atkins,"1,411"
"Hamburg, Germany",Suresh Vishnoi,"1,411"
Poland,Jakub Troszok,"1,410"
Belgium,Stephane Nicoll,"1,410"
Denmark,Jan Aagaard Meier,"1,410"
,hobbes3,"1,410"
Israel,Shayki Abramczyk,"1,409"
"Croatia, Europe",Littlefoot,"1,408"
South Africa,Dave New,"1,408"
"Bangalore, Karnataka, India",Venkatesh G,"1,408"
"Seattle, WA",Eric Lippert,"1,406"
"Lyon, France",Denys Séguret,"1,406"
United States,SingleNegationElimination,"1,406"
"New York, NY, United States",Jimmy,"1,406"
"Amsterdam, Netherlands",Wolph,"1,406"
,pylang,"1,406"
"Austin, TX",Pointy,"1,404"
,250R,"1,404"
"Cambridge, United Kingdom",James,"1,404"
Berlin,David Schumann,"1,404"
"Zürich, Schweiz",Roland,"1,402"
"London, UK",StuartLC,"1,401"
"Karlsruhe, Germany",Jörg W Mittag,"1,400"
,smwikipedia,"1,400"
Singapore,Yangshun Tay,"1,400"
,James Raitsev,"1,398"
Vermont,Adam Franco,"1,398"
Israel,davin,"1,398"
"Calgary, AB, Canada",Rahul,"1,398"
Texas,David,"1,398"
,svnm,"1,398"
"Mysuru, Karnataka, India",Syed,"1,398"
,usr1234567,"1,397"
,Lundin,"1,395"
"Beijing, China",Simon Boudrias,"1,395"
,asemahle,"1,395"
"Khabarovsk, Russia",catavaran,"1,394"
"Illinois, USA",mkobit,"1,394"
"Seattle, WA, USA",David Storey,"1,393"
"Karlsruhe, Germany",Martin Löper,"1,393"
,Tower,"1,392"
Vienna,David Medenjak,"1,392"
Peru,Tree,"1,392"
"Fredericton, Canada",Brad Parks,"1,391"
"Montpelier, VT, USA",Brian Campbell,"1,390"
,MrWhite,"1,390"
"Springfield, MO",kevnk,"1,390"
"Dublin, Ireland",odubah,"1,390"
,Dan Lew,"1,388"
"San Francisco, CA",Keith Smiley,"1,388"
Romania,ibz,"1,388"
Washington State,baudtack,"1,388"
,TravisVOX,"1,388"
San Francisco Bay Area,mpen,"1,387"
,tyczj,"1,387"
"Portland, OR",Daniel Schaffer,"1,387"
"Lagos, Nigeria",Kingsley Kbc Comics,"1,387"
West of house,Kerrek SB,"1,386"
,attdona,"1,386"
Portugal,aF.,"1,384"
Germany,Dr. Jan-Philip Gehrcke,"1,384"
Madrid (Spain),Luis Mendo,"1,383"
"Torhout, Belgium",JPV,"1,383"
Curaçao,Aaron de Windt,"1,382"
"Munich, Germany",ComicSansMS,"1,381"
,FluffyKitten,"1,380"
"Tel Aviv, Israel",Yuval Adam,"1,378"
"Berlin, Germany",Debilski,"1,378"
"Christchurch, New Zealand",Andrew McGregor,"1,378"
,Anderson Green,"1,377"
,Steven Spungin,"1,377"
"London, United Kingdom",stivlo,"1,376"
"Waterloo, Canada",sampson-chen,"1,376"
,enxaneta,"1,376"
,Alexander T.,"1,375"
"Colombo, Western Province, Sri Lanka",Sachila Ranawaka,"1,375"
Missouri,Patrick Johnmeyer,"1,375"
"Bangalore, Karnataka, India",Shelly Pritchard,"1,375"
"Sofia, Bulgaria",Bozho,"1,374"
"New York, United States",PSL,"1,374"
,Simplicity,"1,374"
,Anthony,"1,374"
"Toronto, ON, Canada",DeanAttali,"1,373"
India,sandeep,"1,372"
Vancouver,gdbj,"1,372"
"Kennewick, WA",Paolo Bergantino,"1,370"
Wisconsin,JohnnyHK,"1,370"
"St. John's, Canada",Alain O'Dea,"1,369"
United States,Michael Myers,"1,368"
,Lolly,"1,368"
Egypt,Saad.elzwawy,"1,368"
,Darkonaut,"1,368"
"Mohali, Punjab, India",Rahul Sharma,"1,368"
United States,Ed S.,"1,367"
"Cincinnati, OH",Michael - sqlbot,"1,366"
"Waxhaw, NC, United States",Patrick McElhaney,"1,366"
"Calgary, Canada",Joshua Pinter,"1,366"
Australia,Phil,"1,366"
"Nashville, TN, USA",mfulton26,"1,366"
Milky Way,TLama,"1,365"
United Kingdom,Dave Webb,"1,364"
"New York, United States",zellio,"1,364"
,Mottie,"1,363"
"Boston, MA",Ned Batchelder,"1,362"
"Roskilde, Denmark",Erik Cederstrand,"1,362"
"Tokyo, Japan",kohske,"1,360"
"Toronto, Canada",scunliffe,"1,360"
,bmu,"1,360"
Germany,theomega,"1,360"
"Bloomingburg, New York, USA",Shrage Smilowitz,"1,360"
"Prague, Czech Republic",Martin,"1,360"
Singapore,John Zwinck,"1,359"
"NH, USA",Mad Physicist,"1,359"
"Seattle, WA, United States",AhmetB - Google,"1,359"
"Cisco, Chicago",Ed Morton,"1,358"
"Moscú, Rusia",4c74356b41,"1,358"
Poland,Michał Niklas,"1,358"
India,Harsh Bhikadia,"1,358"
California,Raymond Hettinger,"1,356"
Australia,Marcelo Cantos,"1,356"
Croatia,Roko C. Buljan,"1,356"
"Seattle, WA, USA",Scott Chamberlain,"1,356"
Japan,lc.,"1,356"
Ukraine,Andriy M,"1,356"
"Prague, Czech Republic",David Ferenczy Rogožan,"1,355"
"Chennai, India",Rakesh,"1,354"
,Todd A. Jacobs,"1,354"
"Houston, TX, United States",David T,"1,354"
"Chennai, Tamil Nadu, India",Srinivas,"1,352"
,pycruft,"1,350"
,Loilo,"1,350"
,Mary,"1,350"
"Vancouver, BC, Canada",nneonneo,"1,349"
"San Francisco, CA",Austin Greco,"1,349"
,holi-java,"1,349"
Austria,Markus A.,"1,349"
"Tbilisi, Georgia",yash,"1,349"
"Virginia, USA",Evan Teran,"1,348"
"Glasgow, United Kingdom",Omar Kooheji,"1,348"
,MrNobody33,"1,348"
"Bangkok, Thailand",j2emanue,"1,346"
China,wong2,"1,346"
"Wroclaw, Poland",Mateusz Kubuszok,"1,346"
Hong Kong,Henry Yik,"1,345"
"Wellington, New Zealand",James Newton-King,"1,344"
"Melbourne, Victoria, Australia",Elye,"1,343"
,HTNW,"1,343"
,user1032613,"1,343"
"Conwy, United Kingdom",Meirion Hughes,"1,342"
"Waterloo, ON, Canada",Saad,"1,341"
"Pittsburgh, PA",FatalError,"1,340"
"Pepperell, MA, USA",Jonathan Eunice,"1,340"
